word,freq
Afrique,896177
Allemagne,597511
Alors,541814
Amérique,481331
Après,580534
Au,419446
Aujourd,789645
B,481175
Belgique,502942
Bon,543695
C'',1577064343712
Ca,575405263251
Canada,1084367
Ce,591222556539
Ces,201220
Cette,659374
Chine,632239
Christ,591030
Comme,250343
Comment,197870
Conseil,1230737
D,526491162266
D'',95707
DE,749659
Dans,777943
David,504494
De,605670559647
Depuis,166836
Des,392512
Dieu,2853028
E,208703
Elle,829069292713
En,1335207589531
Et,1326452754742
Etat,1523165
Etats-Unis,663720
Europe,1659643
France,5412115
Français,743366
François,604552
Grand,596021
Il,2932476336480
Internet,2401007
Israël,578678
J'',1542230313209
Jacques,522075
Jean,1087636
Jésus,754668
Louis,499757
M,255127
Ma,166851
Mais,1117353
Marie,503592
Merci,335969
Michel,604200
N,277277
New,523396
Nicolas,568253
Nord,695801
O,186978
On,899445172246
Oui,326953
Paris,2267860
Paul,621301
Pierre,871326
Pour,1884431
Président,664136
Que,243777
Québec,805934
S,252028
Saint,621508
Sarkozy,509512
Seigneur,574174
Si,495169577125
Sud,54323996617
The,792834
Tout,98168
Un,817733
Une,662146
Voici,154978
Vous,1001218
Web,1106968
a-t-elle,137903
a-t-il,596703
ab,19596
abandonner,750066
abattre,243839
abondamment,48523
abondant,111018
abordable,132452
aborder,549810
aboutir,358865
abriter,222688
abruptement,4694
absence,827916
absent,202019
absolu,153558
absolument,743317
absorber,200741
absoudre,208907
absurde,103202
abuser,174513
abusivement,11987
académique,113413
accentuer,152009
acceptable,145798
accepter,1634315
accessible,514485
accessoire,121432
accessoirement,39782
accident,591626
accidentellement,22484
accompagner,1388345
accomplir,547854
accord,1113106
accorder,893632
accrocher,375782
accroître,219159
accueil,820340
accueillir,1037394
accumuler,208022
accuser,426560
accès,1515189
accéder,521260
accélérer,278621
achat,1144328
acheter,2211302
achever,349802
acide,99651
acquérir,842364
acte,1203708
acteur,1085698
actif,795580
action,2976414
activement,130179
activer,295409
activité,3099967
actualité,481458
actuel,1717322
actuellement,1174479
ad,80054
adapter,1272199
additionnel,93786
adhérer,205655
adjoindre,167972
admettre,539696
administratif,588841
administration,922937
administrativement,7996
administrer,149886
admirablement,24941
admirer,307244
adolescent,90324
adopter,848030
adorable,116885
adorer,1025026
adresse,900221
adresser,923111
adroitement,6867
adulte,283076
adversaire,619090
adverse,111922
adéquat,203171
adéquatement,20401
aequo,4641
affaire,2507741
affecter,474483
affectif,96421
affectivement,3634
affectueusement,12878
afficher,858316
affilée,25591
affirmatif,2369
affirmer,1068694
affreusement,14798
affronter,405577
africain,500907
agence,672647
agent,850216
agir,3594409
agiter,214152
agrandir,150810
agressif,176610
agressivement,4729
agricole,464201
agréable,694866
agréablement,53853
aide,2331195
aider,3036049
aigu,95693
ailler,185120
ailleurs,1413092
aimable,86575
aimablement,11590
aimer,5379818
ainsi,5819207
air,2403747
aisé,158107
aisément,149064
ajouter,2243449
ajuster,148450
al,159837
album,999708
alentour,19987
algérien,259595
alias,85244
aligner,174052
alimentaire,586161
alimentation,477998
alimenter,297896
allemand,630246
aller,19228310
allier,233012
allonger,254952
allumer,284915
allègrement,27896
allégrement,9398
alors,10390819
alternatif,244955
alternativement,63804
aléatoire,104405
aléatoirement,13560
amateur,525802
ambiance,662951
ambiant,105367
ambitieux,135506
amener,859657
amer,99063
ami,2990058372082
amical,189415
amicalement,59141
amour,1856311
amoureusement,12421
amoureux,382789
ample,104647
amplement,59909
amusant,181056
amuser,682239
amèrement,14543
amélioration,584032
améliorer,1220768
aménager,217097
américain,1400927
an,9495640
ana,8807
analyse,1113152
analyser,581343
ancien,2573704
anciennement,46638
and,804912
anglais,960869
animal,1074724337572
animation,528652
animer,687498
anniversaire,178410
annonce,759946
annoncer,1751599
annuel,530661
annuellement,50440
annuler,256591
année,8208080
anonyme,146334
anonymement,6844
anormalement,17896
anticiper,202825
antique,159053
antérieur,218814
antérieurement,27516
août,932596
apercevoir,611428
apparaître,1616387
appareil,1004361
apparemment,354436
apparent,151015
appartement,554512
appartenir,823832
appel,1482020
appeler,3019460
applicable,186711
application,1581012
appliquer,1241077
apporter,1908124
apprendre,2311867
apprentissage,515778
approche,837768
approcher,780050
approfondir,264468
approprier,361460
approprié,175221
approuver,315571
approximativement,41244
apprécier,1074868
apprêter,167493
appuyer,897310
apres,139040
après,630737
après-demain,6722
aprés,92210
apte,91939
aquatique,88972
arabe,474248
arbitrairement,16151
arbre,844011
architectural,100654
ardemment,23347
argent,2277220
arme,1169981
armer,299616
armé,171794
armée,871891
arrache-pied,6379
arracher,302265
arranger,273573
arriver,5261739
